task_id,deadline_days,effort,impact,workload,priority_score,priority_label
2,17,1,9,6,6.064705882,High
5,6,8,5,6,5.9,High
6,9,2,7,2,6.433333333,High
8,7,6,9,4,7.585714286,High
13,25,2,9,5,5.3,High
14,12,7,9,9,5.6,High
17,3,2,3,2,11.1,High
19,5,10,5,2,6.5,High
24,4,11,3,6,6.8,High
28,6,6,6,9,6.8,High
30,2,16,2,4,12.8,High
33,8,9,9,8,6.45,High
42,2,12,1,1,13.1,High
46,3,11,4,1,9.8,High
54,4,5,1,6,7,High
56,1,11,1,7,28.3,
62,10,3,6,2,5.4,High
63,5,4,4,1,7.2,High
65,11,8,8,7,5.127272727,High
69,5,8,5,1,6.9,High
70,3,13,6,4,10.4,High
80,9,3,9,2,7.233333333,High
85,4,14,6,5,7.7,High
88,3,9,7,8,11.7,High
91,6,4,8,6,8.2,High
95,3,7,9,1,13.1,High
97,4,10,1,7,6,High
99,1,3,8,8,33.4,
102,3,7,4,6,10.6,High
103,3,17,1,4,7.1,High
108,2,19,1,5,11.7,High
111,5,7,5,2,7.1,High
116,7,18,9,6,5.185714286,High
128,10,7,7,5,5.1,High
131,3,5,3,8,10.5,High
132,8,5,9,7,7.25,High
133,4,19,8,6,7.7,High
136,6,11,8,4,6.8,High
139,8,9,7,9,5.45,High
141,3,4,6,7,12.2,High
143,7,12,9,5,6.385714286,High
156,2,19,7,7,14.7,High
157,6,11,7,9,6.3,High
161,3,14,1,6,7.7,High
162,2,7,4,5,15.6,High
163,5,16,6,8,5.8,High
169,15,3,8,8,5.4,High
170,6,1,5,7,7.3,High
175,5,7,7,7,8.1,High
180,3,7,2,6,9.6,High
181,4,4,8,2,10.7,High
183,3,7,4,4,10.6,High
184,2,19,1,4,11.7,High
187,14,2,7,9,5.242857143,High
197,2,9,7,5,16.7,High
200,4,12,7,1,8.6,High
201,10,4,8,2,6.2,High
209,2,7,6,7,16.6,High
212,6,11,6,3,5.8,High
221,3,13,6,8,10.4,High
228,2,10,3,6,14.5,High
229,1,7,4,7,30.6,
234,1,5,1,1,29.5,
240,7,3,3,4,5.185714286,High
242,7,1,5,1,6.585714286,High
247,1,4,4,2,31.2,
251,9,8,7,8,5.233333333,High
252,2,12,3,2,14.1,High
255,4,8,5,1,8.4,High
257,1,2,5,1,32.1,
262,4,7,9,9,10.6,High
265,7,1,9,9,8.585714286,High
270,13,1,7,9,5.607692308,High
273,2,8,3,2,14.9,High
282,8,10,8,3,5.75,High
286,8,3,9,4,7.65,High
289,1,10,9,7,32.5,
294,1,16,6,4,29.8,
296,7,3,5,4,6.185714286,High
302,2,2,8,5,18.6,High
304,9,7,8,6,5.933333333,High
307,6,8,9,1,7.9,High
309,8,1,9,8,8.05,High
311,3,12,9,2,12.1,High
315,4,10,8,6,9.5,High
317,4,3,7,9,10.4,High
321,4,11,1,3,5.8,High
323,11,3,8,5,6.127272727,High
330,8,1,7,7,7.05,High
332,4,16,4,3,6.3,High
336,11,7,8,6,5.327272727,High
345,1,19,3,6,27.7,
350,4,12,6,6,8.1,High
356,20,4,9,6,5.2,High
359,8,5,8,7,6.75,High
360,4,6,9,7,10.8,High
361,3,15,5,7,9.5,High
366,3,11,6,9,10.8,High
369,14,8,9,6,5.042857143,High
374,6,5,4,4,6,High
384,2,17,5,1,14.1,High
