task_id,deadline_days,effort,impact,workload,priority_score,priority_label
1,29,17,5,6,0.134482759,Low
4,28,9,2,4,0.271428571,Low
20,28,19,3,2,-1.228571429,Low
31,15,10,1,3,0.5,Low
32,22,19,6,1,0.563636364,Low
38,20,11,1,9,-0.2,Low
39,14,17,4,8,0.742857143,Low
43,24,10,2,6,0.25,Low
45,25,8,2,1,0.6,Low
49,27,1,2,5,1.911111111,Low
50,22,7,1,7,0.463636364,Low
51,24,5,3,6,1.75,Low
52,14,19,3,2,-0.157142857,Low
55,29,4,3,7,1.734482759,Low
58,22,8,4,2,1.763636364,Low
60,19,15,1,2,-0.921052632,Low
61,28,19,5,9,-0.228571429,Low
66,29,13,3,7,-0.065517241,Low
67,18,18,3,4,-0.433333333,Low
68,24,17,5,5,0.35,Low
72,28,9,4,3,1.271428571,Low
73,12,10,1,2,1,Low
74,20,18,1,2,-1.6,Low
76,16,10,4,1,1.875,Low
77,21,1,1,2,1.728571429,Low
78,25,14,3,2,-0.1,Low
83,27,11,3,6,0.411111111,Low
87,16,17,2,8,-0.525,Low
89,23,7,1,9,0.404347826,Low
90,26,18,7,8,1.053846154,Low
92,13,15,1,5,-0.192307692,Low
96,13,10,1,6,0.807692308,Low
98,18,14,1,6,-0.633333333,Low
104,18,7,1,3,0.766666667,Low
109,29,19,2,3,-1.765517241,Low
110,24,4,1,5,0.95,Low
113,9,13,1,7,1.233333333,Low
118,27,17,8,1,1.711111111,Low
124,27,18,8,7,1.511111111,Low
125,22,18,2,9,-1.236363636,Low
126,13,15,4,1,1.307692308,Low
129,28,7,1,1,0.171428571,Low
134,12,8,1,5,1.4,Low
135,16,15,4,3,0.875,Low
137,27,17,1,6,-1.788888889,Low
140,7,14,1,7,1.985714286,Low
142,20,1,1,2,1.8,Low
144,24,16,1,5,-1.45,Low
145,7,15,1,5,1.785714286,Low
148,19,10,3,4,1.078947368,Low
149,23,13,2,6,-0.295652174,Low
150,16,12,3,9,0.975,Low
160,15,19,1,3,-1.3,Low
167,15,19,1,2,-1.3,Low
171,24,16,2,2,-0.95,Low
174,28,11,2,1,-0.128571429,Low
176,9,13,2,2,1.733333333,Low
189,9,17,4,6,1.933333333,Low
190,21,14,6,5,1.628571429,Low
191,28,9,5,8,1.771428571,Low
192,29,10,5,5,1.534482759,Low
195,9,18,4,7,1.733333333,Low
196,12,15,3,9,1,Low
198,11,14,3,9,1.427272727,Low
199,29,6,2,7,0.834482759,Low
202,16,11,3,2,1.175,Low
203,23,15,3,5,-0.195652174,Low
205,12,15,1,9,0,Low
206,25,19,6,6,0.4,Low
207,20,3,1,5,1.4,Low
211,27,19,3,8,-1.188888889,Low
213,18,11,1,9,-0.033333333,Low
215,22,18,2,6,-1.236363636,Low
219,12,9,2,4,1.7,Low
220,11,19,5,7,1.427272727,Low
224,23,18,8,5,1.704347826,Low
226,10,19,4,3,1.2,Low
232,18,5,2,5,1.666666667,Low
233,15,8,1,1,0.9,Low
235,18,17,5,1,0.766666667,Low
241,22,13,1,7,-0.736363636,Low
243,13,14,4,9,1.507692308,Low
248,22,10,4,4,1.363636364,Low
249,29,11,2,8,-0.165517241,Low
254,18,17,3,9,-0.233333333,Low
256,22,12,2,1,-0.036363636,Low
258,17,19,6,8,0.964705882,Low
260,28,13,4,8,0.471428571,Low
264,10,18,1,7,-0.1,Low
266,21,17,1,5,-1.471428571,Low
271,26,19,9,5,1.853846154,Low
277,25,17,8,5,1.8,Low
278,21,7,3,9,1.528571429,Low
280,14,13,3,8,1.042857143,Low
283,20,15,1,2,-1,Low
287,23,10,3,2,0.804347826,Low
288,25,19,4,7,-0.6,Low
290,21,19,1,5,-1.871428571,Low
291,23,11,1,2,-0.395652174,Low
292,13,13,2,4,0.707692308,Low
297,14,11,4,7,1.942857143,Low
300,23,15,1,4,-1.195652174,Low
301,23,4,2,8,1.504347826,Low
308,20,12,5,6,1.6,Low
310,16,6,2,4,1.675,Low
312,13,19,5,5,1.007692308,Low
313,23,15,3,5,-0.195652174,Low
316,28,13,6,7,1.471428571,Low
318,11,12,2,9,1.327272727,Low
319,23,18,3,9,-0.795652174,Low
320,16,4,1,5,1.575,Low
322,21,16,7,3,1.728571429,Low
329,27,16,4,2,-0.088888889,Low
333,28,19,8,5,1.271428571,Low
338,25,16,6,5,1,Low
346,27,13,2,9,-0.488888889,Low
349,16,5,1,2,1.375,Low
352,17,12,3,9,0.864705882,Low
353,24,6,1,8,0.55,Low
354,10,10,2,5,2,Low
357,15,14,3,5,0.7,Low
363,23,13,5,5,1.204347826,Low
370,19,10,1,9,0.078947368,Low
373,19,7,2,7,1.178947368,Low
377,18,9,1,2,0.366666667,Low
381,15,18,7,9,1.9,Low
385,21,13,2,2,-0.171428571,Low
389,18,9,2,7,0.866666667,Low
392,17,17,6,8,1.364705882,Low
396,17,13,3,5,0.664705882,Low
397,28,3,1,8,0.971428571,Low
398,27,11,3,5,0.411111111,Low
399,12,16,5,5,1.8,Low
401,24,18,5,5,0.15,Low
407,9,17,4,9,1.933333333,Low
409,8,15,1,9,1.25,Low
410,17,8,3,8,1.664705882,Low
414,27,17,7,1,1.211111111,Low
415,20,14,6,1,1.7,Low
417,12,18,3,7,0.4,Low
419,14,14,4,4,1.342857143,Low
420,12,15,5,2,2,Low
421,15,15,6,4,2,Low
423,15,9,1,5,0.7,Low
428,27,16,2,5,-1.088888889,Low
429,25,18,2,5,-1.4,Low
434,11,19,2,6,-0.072727273,Low
435,9,15,1,2,0.833333333,Low
441,25,10,4,4,1.2,Low
443,28,14,1,4,-1.228571429,Low
444,18,15,3,9,0.166666667,Low
448,22,9,4,9,1.563636364,Low
451,16,11,1,6,0.175,Low
455,22,6,3,1,1.663636364,Low
462,27,4,1,2,0.811111111,Low
471,25,14,1,3,-1.1,Low
476,17,17,6,4,1.364705882,Low
480,20,4,2,8,1.7,Low
481,16,11,2,9,0.675,Low
484,26,17,2,8,-1.246153846,Low
486,18,7,3,2,1.766666667,Low
489,27,4,3,7,1.811111111,Low
492,27,14,5,2,0.811111111,Low
494,29,1,1,5,1.334482759,Low
495,14,4,1,4,1.842857143,Low
499,25,17,7,1,1.3,Low
503,22,15,1,8,-1.136363636,Low
504,29,19,5,9,-0.265517241,Low
508,12,14,1,9,0.2,Low
509,19,19,2,3,-1.221052632,Low
511,19,2,1,5,1.678947368,Low
513,11,11,2,4,1.527272727,Low
517,19,10,4,9,1.578947368,Low
520,29,17,6,2,0.634482759,Low
522,23,17,6,1,0.904347826,Low
525,11,18,1,5,-0.372727273,Low
526,18,13,3,7,0.566666667,Low
531,26,11,1,8,-0.546153846,Low
532,29,12,2,6,-0.365517241,Low
533,26,12,1,8,-0.746153846,Low
534,21,16,4,3,0.228571429,Low
537,21,19,6,2,0.628571429,Low
538,29,15,2,8,-0.965517241,Low
540,18,12,2,4,0.266666667,Low
541,16,17,7,2,1.975,Low
543,29,3,2,6,1.434482759,Low
544,18,19,7,6,1.366666667,Low
546,27,17,8,8,1.711111111,Low
547,28,12,5,6,1.171428571,Low
550,27,9,1,5,-0.188888889,Low
551,10,18,3,7,0.9,Low
553,22,17,3,2,-0.536363636,Low
557,22,12,5,3,1.463636364,Low
560,22,7,2,4,0.963636364,Low
562,29,10,2,8,0.034482759,Low
563,9,19,1,5,0.033333333,Low
565,8,19,4,8,1.95,Low
