task_id,deadline_days,effort,impact,workload,priority_score,priority_label
3,21,4,8,6,4.628571429,Medium
7,20,7,4,1,2.1,Medium
9,21,6,6,3,3.228571429,Medium
10,18,2,3,4,2.766666667,Medium
11,12,3,2,4,2.9,Medium
12,11,7,7,7,4.827272727,Medium
15,19,3,6,3,3.978947368,Medium
16,14,7,6,7,3.742857143,Medium
18,19,9,9,5,4.278947368,Medium
21,28,7,5,2,2.171428571,Medium
22,7,15,6,3,4.285714286,Medium
23,10,9,2,7,2.2,Medium
25,6,5,1,7,4.5,Medium
26,26,6,8,4,3.953846154,Medium
27,8,15,8,6,4.75,Medium
29,28,9,7,9,2.771428571,Medium
34,25,6,7,2,3.5,Medium
35,10,2,4,4,4.6,Medium
36,19,3,6,9,3.978947368,Medium
37,23,5,8,7,4.304347826,Medium
40,15,4,4,1,3.2,Medium
41,12,5,5,7,4,Medium
44,6,9,2,7,4.2,Medium
47,18,10,9,2,4.166666667,Medium
48,20,7,8,2,4.1,Medium
53,29,12,8,2,2.634482759,Medium
57,27,10,6,1,2.111111111,Medium
59,17,7,5,4,2.864705882,Medium
64,11,16,5,7,2.027272727,Medium
71,18,8,6,5,3.066666667,Medium
75,10,17,9,8,4.1,Medium
79,27,12,7,2,2.211111111,Medium
81,17,15,8,5,2.764705882,Medium
82,24,6,5,6,2.55,Medium
84,19,9,5,4,2.278947368,Medium
86,9,10,6,5,4.333333333,Medium
93,18,16,8,8,2.466666667,Medium
94,18,1,3,4,2.966666667,Medium
100,13,4,3,7,3.007692308,Medium
101,28,6,5,5,2.371428571,Medium
105,10,11,4,1,2.8,Medium
106,19,11,7,9,2.878947368,Medium
107,11,17,7,1,2.827272727,Medium
112,25,3,4,8,2.6,Medium
114,6,19,3,3,2.7,Medium
115,24,1,4,8,3.05,Medium
117,8,19,7,3,3.45,Medium
119,25,7,9,4,4.3,Medium
120,23,6,7,2,3.604347826,Medium
121,26,1,5,6,3.453846154,Medium
122,25,18,9,6,2.1,Medium
123,17,1,6,4,4.564705882,Medium
127,12,6,5,7,3.8,Medium
130,7,18,8,8,4.685714286,Medium
138,12,9,7,8,4.2,Medium
146,9,7,1,1,2.433333333,Medium
147,22,5,5,6,2.863636364,Medium
151,23,5,9,1,4.804347826,Medium
152,9,10,4,4,3.333333333,Medium
153,11,15,8,3,3.727272727,Medium
154,10,18,9,4,3.9,Medium
155,18,6,5,9,2.966666667,Medium
158,19,3,3,7,2.478947368,Medium
159,27,5,5,9,2.611111111,Medium
164,26,5,5,8,2.653846154,Medium
165,12,18,7,4,2.4,Medium
166,11,5,4,5,3.727272727,Medium
168,14,5,7,4,4.642857143,Medium
172,22,1,4,4,3.163636364,Medium
173,12,13,8,1,3.9,Medium
177,22,1,3,3,2.663636364,Medium
178,13,6,7,9,4.607692308,Medium
179,8,16,5,2,3.05,Medium
182,8,13,2,9,2.15,Medium
185,11,13,5,1,2.627272727,Medium
186,6,9,3,8,4.7,Medium
188,7,12,6,4,4.885714286,Medium
193,26,3,5,1,3.053846154,Medium
194,27,1,6,4,3.911111111,Medium
204,19,17,8,1,2.178947368,Medium
208,23,3,6,7,3.704347826,Medium
210,16,6,5,6,3.175,Medium
214,8,16,6,2,3.55,Medium
216,15,2,3,3,3.1,Medium
217,12,11,6,1,3.3,Medium
218,12,13,6,4,2.9,Medium
222,15,4,3,9,2.7,Medium
223,20,5,6,3,3.5,Medium
225,23,10,7,8,2.804347826,Medium
227,20,4,4,1,2.7,Medium
230,7,9,4,9,4.485714286,Medium
231,27,6,8,4,3.911111111,Medium
236,12,14,5,9,2.2,Medium
237,15,4,2,5,2.2,Medium
238,6,8,1,1,3.9,Medium
239,24,13,9,1,3.15,Medium
244,9,6,3,2,3.633333333,Medium
245,21,12,8,2,3.028571429,Medium
246,29,5,8,3,4.034482759,Medium
250,23,9,9,1,4.004347826,Medium
253,10,12,8,8,4.6,Medium
259,23,8,7,5,3.204347826,Medium
261,22,10,8,8,3.363636364,Medium
263,28,1,8,7,4.871428571,Medium
267,11,12,5,5,2.827272727,Medium
268,18,18,8,4,2.066666667,Medium
269,9,7,1,1,2.433333333,Medium
272,17,7,5,3,2.864705882,Medium
274,17,9,6,5,2.964705882,Medium
275,12,16,7,1,2.8,Medium
276,21,5,5,4,2.928571429,Medium
279,25,1,8,4,5,Medium
281,10,7,5,2,4.1,Medium
284,7,12,3,7,3.385714286,Medium
285,12,18,9,5,3.4,Medium
293,11,7,5,8,3.827272727,Medium
295,9,14,7,3,4.033333333,Medium
298,17,18,9,2,2.664705882,Medium
299,19,8,5,6,2.478947368,Medium
303,22,6,5,6,2.663636364,Medium
305,14,9,6,6,3.342857143,Medium
306,22,6,9,3,4.663636364,Medium
314,17,19,9,2,2.464705882,Medium
324,6,10,1,4,3.5,Medium
325,27,13,9,5,3.011111111,Medium
326,22,3,7,1,4.263636364,Medium
327,10,1,3,5,4.3,Medium
328,25,8,9,8,4.1,Medium
331,27,4,8,5,4.311111111,Medium
334,19,8,8,8,3.978947368,Medium
335,14,1,1,1,2.442857143,Medium
337,12,1,4,9,4.3,Medium
339,9,9,3,1,3.033333333,Medium
340,10,13,8,8,4.4,Medium
341,25,12,9,2,3.3,Medium
342,11,14,8,5,3.927272727,Medium
343,29,6,7,5,3.334482759,Medium
344,13,5,6,1,4.307692308,Medium
347,26,4,9,3,4.853846154,Medium
348,8,18,6,2,3.15,Medium
351,19,3,4,3,2.978947368,Medium
